what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676130068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676133706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676136678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676147689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417676150939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417676153439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676155374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676158687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676160009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676256930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676274245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676288114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417676299237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417676300565
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1417676334558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417676334918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676336025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676345764
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1417676348208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676352063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417676360083
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1417676364452
