what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417921518277
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417921518652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417921519574
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1417921529219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417921529859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417921530860
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417921535763
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.toggle.comment",1417921536831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417921537268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417921537987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417921741490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417921759528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417921766703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417921941692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417921945462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417921959182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417921980594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417921982047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417921997967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922101393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922105906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922107333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922109766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1417922113044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417922115923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922122358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1417922135101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922135877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417922147386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922148776
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1417922150373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417922151764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922152358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922158103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922188720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922192023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922202638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922203404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922208173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417922220203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922225280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922226249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922229571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922237321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922238109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922241321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417922245705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922246861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417922249507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417922251143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922251550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922252262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922256585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922330694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922335148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922354717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922365243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922366181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922390547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922392844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922678935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922709511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417922714514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922726789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922755538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417922759233
